restaurant_id,menu_item_name,price,description,platform,restaurant_id_platform_unique
kingslize-pizza-gent,Shiitake truffel,19.9,"'Bij Kingslize Premium Pizza proberen we jullie telkens opnieuw te verrassen. Deze keer doen we dit met de Shiitake Truffel. Een heerlijke pizza met een laagje tomatensaus, mozzarella en shiitake champignons. Afgewerkt met sneetjes Cambozola kaas, mizuna red sla, lente-ui en truffelolie van Oil&Vinegar.', '', 'Een festijn voor elke fijnproever!'",takeaway,takeaway_kingslize-pizza-gent
kingslize-pizza-gent,Scampizza,14.9,"'Tomato sauce, mozzarella, tabasco, caramelised red onion, cherry tomato, chili pepper, scampi.'",takeaway,takeaway_kingslize-pizza-gent
dominos-pizza-mortsel-2,Pizza American,11.0,"'Sauce tomate, mozzarella & pepperoni.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Margherita,11.0,"'Sauce tomate, mozzarella & origan.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Funghi,11.0,"'Sauce tomate, mozzarella, champignons, pizza herbs.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Ham,11.0,"'Sauce tomate, mozzarella, jambon.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Forestière,12.5,"'Sauce tomate, mozzarella, bacon, jambon & champignons.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza 4 Seasons,12.5,"'Sauce tomate, mozzarella, pepperoni, jambon grillé, poivron & champignons.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Diabolika,12.5,"'Sauce tomate, mozzarella, oignon rouge, viande hachée, merguez & piments rouges.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Barbecue grill,12.5,"'Sauce barbecue, mozzarella, oignon rouge, viande hachée, lard et tourbillon de sauce barbecue.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Veggi,12.5,"'Sauce tomate, mozzarella, tomates fraîches, champignons, poivron, oignons rouge, olives noires, épinards.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Bbq chicken & bacon,12.5,"'Barbecue sauce, mozzarella, poulet grillé et bacon.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Hawaiian,12.5,"'Sauce tomate, mozzarella, jambon grillé & ananas.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Hot & spicy,12.5,"'Sauce tomate, mozzarella & pepperoni, poulet, oignons rouge, poivrons, piments.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Creamy 4 cheese,12.5,"'Crème fraiche, mozzarella, gorgonzola, emmental et fromage de chèvre.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza 4 cheese,12.5,"'Sauce tomate, mozzarella, gorgonzola, emmental & fromage de chèvre.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Vegeroni,12.5,"'Sauce tomate, mozzarella, vegeroni.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Cheeseburger,12.5,"'Tomatensaus, mozzarella, burger sauce, emmentaler, gehakt beef crumble, pickles, tomaten, ui.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Pepperoni party,14.0,"'Sauce tomate, mozzarella, pepperoni et pepperoni extra.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Barbecue chicken,14.0,"'Sauce tomate, mozzarella, oignon rouge, poivron, poulet & tourbillon de sauce barbecue.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Cannibale,14.0,"'Sauce barbecue, mozzarella, viande hachée, merguez, poulet & tourbillon de sauce barbecue.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Extravaganzza,14.0,"'Sauce tomate, mozzarella, pepperoni, jambon grillé, champignons, oignon rouge, poivron, viande hachée et olives.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Savoyarde,14.0,"'Crème fraîche, mozzarella, origan, rondelles de pomme de terre, bacon & reblochon.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Crevettes,14.0,"""Sauce tomate, mozzarella, crevettes, tomates fraîches & sauce à l'ail.""",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Tonno,14.0,"'Sauce tomate, mozzarella, thon, oignon rouge, épinards & olives noires.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Chicken kebab,14.0,"'Sauce tomate, mozzarella, kebab de poulet, oignons rouge, poivrons mixtes & sauce samouraï.'",takeaway,takeaway_dominos-pizza-mortsel-2
dominos-pizza-mortsel-2,Pizza Chicken Delight,14.0,"'Sauce tomate, mozzarella, poulet halal, poivrons, épinards frais, tomates et oignons.'",takeaway,takeaway_dominos-pizza-mortsel-2
