restaurant_id,restaurant_name,rating,review_count,longitude,latitude,postalCode,platform,restaurant_id_platform_unique,standardized_city
pasta-pino,Pasta Pino,4.6,29,3.2168884,50.74363,7700,takeaway,takeaway_pasta-pino,Mouscron
da-barone-et-fils,Da Barone et Fils,3.0,139,5.4607516,50.5409924,4120,takeaway,takeaway_da-barone-et-fils,Rotheux-Rimière
pizza-gustosa,Pizza Gustosa,4.6,1382,5.4802058,50.6754914,4340,takeaway,takeaway_pizza-gustosa,Villers-L'evêque
la-brezza-nova-rocourt-1,La Brezza Nova Rocourt,4.3,8,5.5497033,50.6841799,4000,takeaway,takeaway_la-brezza-nova-rocourt-1,Rocourt
la-storia-ans,La Storia,4.2,10,5.512421,50.66334,4430,takeaway,takeaway_la-storia-ans,Ans
pizza-hut-delivery-houthalen,Pizza Hut Delivery,3.7,91,5.3770218,51.0316575,3530,takeaway,takeaway_pizza-hut-delivery-houthalen,Houthalen-Helchteren
grillhouse-kusadasi,Grillhouse Kusadasi,4.7,295,5.5741936,50.9311393,3690,takeaway,takeaway_grillhouse-kusadasi,Zutendaal
signature-burger-ixelles,Black Angus Burger Gourmet,3.0,35,4.3950112,50.8093402,1050,takeaway,takeaway_signature-burger-ixelles,Ixelles
pizza-hut-delivery-ukkeluccle-2-st-job,Pizza Hut Delivery,4.1,167,4.3652704,50.7944917,1180,takeaway,takeaway_pizza-hut-delivery-ukkeluccle-2-st-job,Uccle
delices-de-mazagan,Délices de Mazagan,4.8,603,4.2050586,50.6927383,1480,takeaway,takeaway_delices-de-mazagan,Tubize
dominos-pizza-tubize,Domino's Pizza,4.1,415,4.2037156,50.6914912,1480,takeaway,takeaway_dominos-pizza-tubize,Tubize
akira,Akira,4.6,75,4.2035757,50.6916829,1480,takeaway,takeaway_akira,Tubize
pizzeria-taormina-virginal,Pizzeria Taormina,3.2,1378,4.2052731,50.64659,1460,takeaway,takeaway_pizzeria-taormina-virginal,Virginal-Samme
snack-de-la-gare-tubize,Snack de la Gare,4.2,33,4.2052684,50.69229,1480,takeaway,takeaway_snack-de-la-gare-tubize,Tubize
butcher,Butcher,3.9,452,4.6140658,50.6692295,1348,takeaway,takeaway_butcher,Louvain-La-Neuve
snack-pita-bodrum-vise,Snack Pita Bodrum,4.3,848,5.6940744,50.7378023,4600,takeaway,takeaway_snack-pita-bodrum-vise,Visé
sushi-chow,Sushi Chow,4.4,267,5.6950235,50.7350978,4600,takeaway,takeaway_sushi-chow,Visé
shangri-la-oupeye,Shangri-la,4.8,363,5.6715003,50.7347545,4684,takeaway,takeaway_shangri-la-oupeye,Haccourt
kero-tacos-1,Kero Tacos,4.1,810,5.6943161,50.737713,4600,takeaway,takeaway_kero-tacos-1,Visé
napoli-heers,Napoli Heers,3.5,494,5.302248,50.752292,3870,takeaway,takeaway_napoli-heers,Veulen
otacos-waremme,O'Tacos,3.0,184,5.2540341,50.6959868,4300,takeaway,takeaway_otacos-waremme,Waremme
la-plazza-waremme,La Plazza Waremme,4.5,80,5.25257,50.695427,4300,takeaway,takeaway_la-plazza-waremme,Waremme
pizza-hut-delivery-beernem,Pizza Hut Delivery,1.9,6,3.3246631,51.1289345,8730,takeaway,takeaway_pizza-hut-delivery-beernem,Sint-Joris
oregano-brasschaat,Oregano Brasschaat,3.9,164,4.4921598,51.290567,2930,takeaway,takeaway_oregano-brasschaat,Brasschaat
side-kebap,Side Kebap,3.7,546,5.0863443,51.3187134,2370,takeaway,takeaway_side-kebap,Arendonk
broodjeszaak-de-vrijheid,Broodjeszaak De Vrijheid,5.0,15,5.0895086,51.3211208,2370,takeaway,takeaway_broodjeszaak-de-vrijheid,Arendonk
asia-delice,Asia Délice,4.7,1156,4.4319316,50.8369268,1150,takeaway,takeaway_asia-delice,Woluwe-Saint-Pierre
pizza-hut-delivery-vilvoorde-1,Pizza Hut Delivery,4.5,235,4.470801,50.8847419,1930,takeaway,takeaway_pizza-hut-delivery-vilvoorde-1,Zaventem
snack-opwijk,Snack Opwijk,4.3,309,4.1890306,50.9691957,1745,takeaway,takeaway_snack-opwijk,Opwijk
kfc-wijnegem,KFC,2.7,248,4.5018069,51.2222768,2110,takeaway,takeaway_kfc-wijnegem,Wijnegem
lla-famiglia,La famiglia,4.6,19,5.580884,51.00532,3665,takeaway,takeaway_lla-famiglia,As
pyramide-hamont,Pyramide,4.9,45,5.54582,51.24612,3930,takeaway,takeaway_pyramide-hamont,Hamont-Achel
anatolia-23-1,Anatolia 23,4.6,652,5.5466132,51.2514972,3930,takeaway,takeaway_anatolia-23-1,Hamont-Achel
la-brochette-du-chalet,La Brochette du Chalet,4.0,113,4.3209591,50.8674882,1083,takeaway,takeaway_la-brochette-du-chalet,Ganshoren
xin-yuan,Xin Yuan,4.5,356,4.310531,50.8671138,1082,takeaway,takeaway_xin-yuan,Berchem-Sainte-Agathe
chez-giovanni,Chez Giovanni,4.0,27,4.3068695,50.86666,1082,takeaway,takeaway_chez-giovanni,Berchem-Sainte-Agathe
hau-wang-uccle,Hau Wang,4.3,29,4.3145715,50.8586393,1080,takeaway,takeaway_hau-wang-uccle,Molenbeek-Saint-Jean
chef-kebab-1,Chef Kebab,4.9,146,4.315421,50.87349,1083,takeaway,takeaway_chef-kebab-1,Ganshoren
dominos-pizza-jette-1,Domino's Pizza,3.9,848,4.3240906,50.8721342,1090,takeaway,takeaway_dominos-pizza-jette-1,Jette
dominos-pizza-berchem-sainte-agathe,Domino's Pizza,2.6,648,4.2823889,50.8667894,1082,takeaway,takeaway_dominos-pizza-berchem-sainte-agathe,Berchem-Sainte-Agathe
woodiz-basilique,Woodiz Basilique,4.3,99,4.3144861,50.8668799,1081,takeaway,takeaway_woodiz-basilique,Koekelberg
i-love-pizza,I love Pizza,4.0,472,4.3132214,50.8736018,1083,takeaway,takeaway_i-love-pizza,Ganshoren
o-delices-du-basilix,Ô Délices du Basilix,4.7,3,4.2923159,50.872043,1082,takeaway,takeaway_o-delices-du-basilix,Berchem-Sainte-Agathe
sushiria-jette,Sushiría,4.0,328,4.3262347,50.8729989,1090,takeaway,takeaway_sushiria-jette,Jette
librairie-koekelberg-iii,Librairie Koekelberg III,0.0,0,4.328317,50.8569599,1081,takeaway,takeaway_librairie-koekelberg-iii,Koekelberg
factory-buns,Factory Buns,4.0,3,4.3256164,50.872284,1090,takeaway,takeaway_factory-buns,Jette
librairie-koekelberg-ii,Librairie Koekelberg II,0.0,0,4.3296999,50.8569799,1081,takeaway,takeaway_librairie-koekelberg-ii,Koekelberg
pitta-house-2,Pitta House 2,4.7,9,4.3112619,50.868915,1083,takeaway,takeaway_pitta-house-2,Ganshoren
librairie-koekelberg,Librairie Koekelberg,0.0,0,4.329865,50.8570185,1081,takeaway,takeaway_librairie-koekelberg,Koekelberg
iskay,Iskay,4.6,9,3.8198084,50.7116127,7860,takeaway,takeaway_iskay,Lessines
papa-sucre-sale,Papa Sucré / Salé,4.7,77,3.5782116,50.6972868,7910,takeaway,takeaway_papa-sucre-sale,Wattripont
dominos-pizza-ronse,Domino's Pizza,2.6,162,3.6020962,50.7427833,9600,takeaway,takeaway_dominos-pizza-ronse,Renaix
kursatto,Snack Kursatto,4.1,520,3.6015994,50.7475772,9600,takeaway,takeaway_kursatto,Renaix
le-meilleur-de-la-frite,Le Meilleur de la Frite,4.7,590,3.5807412,50.6936941,7910,takeaway,takeaway_le-meilleur-de-la-frite,Wattripont
freros,Frero's,4.7,18,3.6034959,50.7350915,9600,takeaway,takeaway_freros,Renaix
dominos-pizza-houthalen,Domino's Pizza,4.7,53,5.373873,51.03167,3530,takeaway,takeaway_dominos-pizza-houthalen,Houthalen-Helchteren
snack-felix-2,Snack Felix 2,4.1,15,4.3982331,50.8478045,1030,takeaway,takeaway_snack-felix-2,Schaerbeek
snack-papay,Snack Papay,4.5,219,4.3808233,50.8367019,1040,takeaway,takeaway_snack-papay,Etterbeek
tamy,Tamy,3.8,3,4.3805304,50.8364281,1040,takeaway,takeaway_tamy,Etterbeek
omiros,Omiros,3.8,16,4.3739433,50.8490727,1210,takeaway,takeaway_omiros,Saint-Josse-Ten-Noode
buv-moi,Poke Fresh,0.0,0,4.3566654,50.8476687,1000,takeaway,takeaway_buv-moi,Bruxelles
le-pecheur,Le Pêcheur,4.1,18,4.3534486,50.8483082,1000,takeaway,takeaway_le-pecheur,Bruxelles
le-porto-fino,Le Porto fino,3.5,9,4.3717928,50.8395002,1050,takeaway,takeaway_le-porto-fino,Ixelles
snack-tadim,Tadim Kumpir,4.2,412,4.3766128,50.859793,1030,takeaway,takeaway_snack-tadim,Schaerbeek
le-1050,Le 1050 Snack,3.7,9,4.3726359,50.8289445,1050,takeaway,takeaway_le-1050,Ixelles
volle-gas-1,Volle Gas,3.9,6,4.367096,50.8334153,1050,takeaway,takeaway_volle-gas-1,Ixelles
gusto-di,Gusto Di Bruxelles,3.8,1221,4.3460338,50.8481231,1000,takeaway,takeaway_gusto-di,Bruxelles
shapla-masala,Shapla Masala,4.0,22,4.3832616,50.8443804,1000,takeaway,takeaway_shapla-masala,Bruxelles
el-bocadillos,El Bocadillos,4.2,307,4.3577667,50.8450733,1000,takeaway,takeaway_el-bocadillos,Bruxelles
oliva-etterbeek,Oliva,3.5,85,4.388106,50.8366818,1040,takeaway,takeaway_oliva-etterbeek,Etterbeek
snack-chez-zeki,Snack Chez Zeki,4.7,88,4.3673975,50.8548619,1210,takeaway,takeaway_snack-chez-zeki,Saint-Josse-Ten-Noode
empanadas,Empanadas,0.0,0,4.4006672,50.8407666,1040,takeaway,takeaway_empanadas,Etterbeek
restaurant-grecque-nammos,Restaurant Grecque Nammos,3.4,105,4.3844341,50.8575141,1030,takeaway,takeaway_restaurant-grecque-nammos,Schaerbeek
antipasti-sapori,Antichi Sapori,3.8,4,4.4007157,50.8427711,1040,takeaway,takeaway_antipasti-sapori,Etterbeek
afrosian-ixelles,Afrosian,2.5,51,4.3802894,50.850166,1000,takeaway,takeaway_afrosian-ixelles,Bruxelles
