city,avg_price_per_sq_cm,pizza_count
Rotselaar,0.009830130059322366,123
Noorderwijk,0.011360400480864154,4
Leuven,0.012868207665456712,6
Kortrijk,0.013118440919434649,21
Vrasene,0.014017783476508701,3
Zandvoorde,0.014259185027025115,5
Genk,0.014402140279624356,248
Ophoven,0.01463325644534782,65
Borgerhout,0.01489303947276168,169
Merksem,0.015020897897039013,17
Sint-Michiels,0.015140697055245038,34
Geel,0.015291735542324329,55
Weert,0.015386439310114545,25
Sint-Lambrechts-Herk,0.015508799889629707,27
Schoten,0.015697218692628547,156
Hoelbeek,0.016275479943313638,66
Antwerpen,0.01643699353505796,210
Molenbeek-Saint-Jean,0.016664286808692808,17
Anderlecht,0.017143351352397425,53
Wansin,0.017399856055688633,106
Wommelgem,0.017430210319305504,29
Gent,0.01750887448300327,78
Brasschaat,0.017646611844470538,73
Aalst,0.017811206520239663,6
Koekelberg,0.017877563184343588,3
Kessel Lo,0.017926683816072403,67
Wieze,0.018005407703325534,35
Tielrode,0.018091284926271704,188
Rumbeke,0.01831887292890003,41
Wavre,0.01842716702662565,126
Vilvoorde,0.01858788264252811,72
Deurne,0.018991719813136607,178
Ekeren,0.019149077522853344,67
Koolkerke,0.01941992849345149,147
Ichtegem,0.0197584527619687,87
Vosselaar,0.019800083127652086,135
Waterloo,0.020156327429246196,32
Moerzeke,0.02065121830833381,134
Mortsel,0.020928875016584237,3
Duffel,0.021149289443694663,130
Zemst,0.021555543348884872,70
Walem,0.022088517548440656,147
Sleidinge,0.024118270556263772,6
Mol,0.025086988944873614,124
Zulte,0.029098484168769017,5
Zonnegem,0.03859034395902888,8
Kuurne,0.04970253687667988,3
