restaurant_name,menu_item_name,price,description
Agua na boca Antwerpen ,Pizza fries,15.0,"Waffle-fries with ground beef, mozzarella, chorizo, olives and feta crumbs 

(halal)"
Otomat Leopoldplaats,Pizza Nutella,9.5,Small pizza topped with strawberries and hazelnuts
Otomat Leopoldplaats,Bianca Pizzafiore,12.0,"Sour cream, Fior di Latte Mozzarella, thyme & caramelized red onion."
Lunchbar Tomasso,Crepizza Margerita,6.0,"De Crepizza is een zuurdesem, durumtarwe en griesmeel, gekneed pastavel. Een gastronomisch concept tussen een crêpe en pizzadeeg."
Nonna Julia  Pizza & Pasta,Pizza classico,10.5,"Tomatensaus, kaas, basilicum"
Nonna Julia  Pizza & Pasta,Pizza quattro stagioni,14.5,"Tomatensaus, hesp, champignons, olijven, artisjok, mozzarella"
Nonna Julia  Pizza & Pasta,Pizza napolitana,12.0,"Tomatensaus, mozzarella, hesp"
Nonna Julia  Pizza & Pasta,Pizza perezo,12.0,"Tomatensaus, mozzarella, paprika"
Nonna Julia  Pizza & Pasta,Pizza funghi,12.0,"Tomatensaus, mozzarella en champignons."
Nonna Julia  Pizza & Pasta,Pizza tonno,14.5,"Tomatensaus, tonijn, olijven, ui"
Nonna Julia  Pizza & Pasta,Pizza anjo,14.5,"Tomatensaus, ansjovis, olijven"
Nonna Julia  Pizza & Pasta,Pizza vegi,15.5,"Tomatensaus, spinazie, paprika, champignon"
Nonna Julia  Pizza & Pasta,Pizza salami,12.0,"Tomatensaus, salami, mozzarella"
Nonna Julia  Pizza & Pasta,Pizza Italy,14.5,"Tomatensaus, spinazie, champignon, tomaat"
Nonna Julia  Pizza & Pasta,Pizza scampi,15.5,"Tomatensaus, mozzarella, scampi"
Nonna Julia  Pizza & Pasta,Pizza seaworld,16.5,"Tomatensaus, zeevruchten, ui"
Nonna Julia  Pizza & Pasta,Pizza chicken,13.5,"Tomatensaus, kipfilet, paprika, mozzarella"
Nonna Julia  Pizza & Pasta,Pizza hecha,12.5,"Tomatensaus, hesp, champignon, mozzarella"
Nonna Julia  Pizza & Pasta,Pizza melanzane,14.0,"Tomatensaus, aubergine, mozzarella, parmezaan"
Nonna Julia  Pizza & Pasta,Pizza bolognese,12.5,"Bolognesesaus, tomaten, peterselie"
Nonna Julia  Pizza & Pasta,Pizza rucola,12.5,"Tomatensaus, rucola, tomaat, mozzarella"
Nonna Julia  Pizza & Pasta,Pizza Hawaï,14.0,"Tomatensaus, hesp, ananas, mozzarella"
Pizza Hut Turnhout,Duo menu,19.9,4 lookbroodjes of 4 chicken wings (normal) + 1 medium pizza naar keuze + 2 frisdranken 33cl
Pizza Hut Turnhout,Quattro menu,32.9,"1 Cheezy Bread of 8 lookbroodjes of 8 chicken wings + 2 medium pizzas naar keuze + 1,5L Pepsi/Pepsi Max/7up"
Pizza Hut Turnhout,The BOX,27.0,"1 Pizza Pan Large (of Medium Classic of Cheezy Crust (+1,80€)) + American Potatoes + 8 Chicken Croqs + 2 lookbroodjes + 4 Chicken Wings "
Pizza Hut Turnhout,Pepper Pizza,18.0,"Dubbele portie rundvlees, tomatenblokjes, rode ui, pepersaus, tomatensaus, mozzarella

"
Pizza Hut Turnhout,Falafel pizza,19.5,"Falafelballetjes, basilicumdressing, tomatenblokjes, peterselie, tomatensaus, violife vegan kaas"
Pizza Hut Turnhout,Falafel pizza,24.5,"Falafelballetjes, basilicumdressing, tomatenblokjes, peterselie, tomatensaus, violife vegan kaas"
Pizza Hut Turnhout,Pepper Pizza,18.0,
Pizza Hut Turnhout,"Yes, I want chessy crust with my large pizza please",6.6,
The Lab Game Concept,Pizzas,13.0,Onze beroemde pizzas. 4 Smaken
La Dany,Pizza Barbecue Chicken,13.0,"(kaas, kip & paprika)."
Pasta Commedia,Escalope Pizzaiola,20.4,"Tomates fraîches, câpres et anchois"
Panito bvba,Pizza hesp,9.0,"Tomatensaus, hesp, mozzarella, edammer, emmentaler"
Panito bvba,Pizza speciale,9.0,"Tomatensaus, samami, champignons, hesp, gouda, emmentaler"
Panito bvba,Pizza spinazie,9.0,"Tomatensaus, spinazie, mozzarella, edammer, emmentaler"
Panito bvba,Vegetarische pizza,9.0,"Tomatensaus, cherrytomaten, paprika, peperoni, ui, mozzarella, emmentaler"
Panito bvba,Pizza mozzarella,9.0,"Tomatensaus, mozzarella, basilicum, edammer, emmentaler"
Amici Miei ,Pizzaiola,10.0,
Amici Miei ,Pizzaiola,2.0,
Amici Miei ,Pizzaiola,14.0,
Amici Miei ,Putanesca,7.9,"Olijven, kappertjes, mozzarella en pizzaiolasaus"
In 't Vrije,Pizza In ‘t Vrije,17.0,Tomatensaus - look -  gehakt - paprikareepjes - rode ui - mozzarella
In 't Vrije,Pizza In ‘t Vrije Vegan,17.0,"Tomatensaus - look - Le gehackt - paprikareepjes - ui - vegan Kaas
-> zelfs een vleeseter proeft het verschil niet!"
In 't Vrije,Pizza Nacho Totale,17.0,Tomatensaus - gehakt - rode ui - jalapenos - cheddar kaas - zure room.
In 't Vrije,Pizza Chickens Heaven,17.0,Pepperoni crème - kip - rode ui - mozzarella
In 't Vrije,Pizza Chickens Hell,17.0,Pepperoni crème - kip - rode ui - pikante saus - mozzarella
In 't Vrije,Pizza Formaggi,16.0,5 kazen - tomaat - mozzarella
In 't Vrije,Pizza Margriet,12.5,Tomaat - basilicum - mozzarella
In 't Vrije,Truffle Pizza,18.0,Truffelcrème - gedeputeerde champignon mengeling - parmezaan
In 't Vrije,Pizza pepperoni,17.0,Pepperonicrème - Italiaanse salami - mozzarella
In 't Vrije,Pizza geitenkaas,17.0,Tomatensaus - geitenkaas - spek - honing
In 't Vrije,Pizza Frederico,17.0,Tomatensaus - look - gehakt - warm gerookte ansjovis mozzarella
In 't Vrije,Pizza BBQ,17.0,Barbequesaus - tomatensaus - gehakt - ui - mozzarella
In 't Vrije,Pizza Michéle,17.0,Tomatensaus - look - gehakt - ui - peperonata alla piemontese (paprikafileetjes in een lekker sausje)
Pizzeria Il Pazzo ,Pizza Bolognese ,10.95,"Bolognesesaus, look, ui, extrakaas 
"
Pizzeria Il Pazzo ,Pizza Pollo ,10.95,"Gekruide kip,paprika,ui,champignons
"
Pizzeria Il Pazzo ,Pizza Calzone,10.95,"Ham, salami, paprika, bolognesesaus
"
Pizzeria Il Pazzo ,Pizza Pollo Hawaii ,10.95,"Kip, paprika, ui,ananas
 "
Pizzeria Il Pazzo ,Pizza Quatro Stagione,10.95,"Ham, salami, paprika, champignons
"
Pizzeria Il Pazzo ,Pizza Quatro Stagione ,10.95,"Ham, salami, paprika, champignons
"
Pizzeria Il Pazzo ,Pizza Quatro Formagi ,10.95,"4 soorten kaas
"
Pizzeria Il Pazzo ,Pizza Vegetariana ,10.95,"Aubergine, paprika, champignons, artisjok, ui
"
Pizzeria Il Pazzo ,Pizza Frutti Di Mare ,10.95,"Zeevruchten, look
"
Pizzeria Il Pazzo ,Pizza Rio Mare ,10.95,"Tonijn, ui, look
"
Pizzeria Il Pazzo ,Pizza Capricciosa ,10.95,"Ham, champignons
"
Pizzeria Il Pazzo ,Pizza Capricciosa ,10.95,"Ham, champignons
"
Pizzeria Il Pazzo ,Pizza Il Pazzo,10.95,"Parmaham, rucola, parmezaan
"
Pizzeria Il Pazzo ,Pizza Hawaii ,10.95,"Ham, ananas
"
