restaurant_name,menu_item_name,price,description
Kingslize Pizza,Shiitake truffel,19.9,"'Bij Kingslize Premium Pizza proberen we jullie telkens opnieuw te verrassen. Deze keer doen we dit met de Shiitake Truffel. Een heerlijke pizza met een laagje tomatensaus, mozzarella en shiitake champignons. Afgewerkt met sneetjes Cambozola kaas, mizuna red sla, lente-ui en truffelolie van Oil&Vinegar.', '', 'Een festijn voor elke fijnproever!'"
Kingslize Pizza,Scampizza,14.9,"'Tomato sauce, mozzarella, tabasco, caramelised red onion, cherry tomato, chili pepper, scampi.'"
Domino's Pizza,Pizza American,11.0,"'Sauce tomate, mozzarella & pepperoni.'"
Domino's Pizza,Pizza Margherita,11.0,"'Sauce tomate, mozzarella & origan.'"
Domino's Pizza,Pizza Funghi,11.0,"'Sauce tomate, mozzarella, champignons, pizza herbs.'"
Domino's Pizza,Pizza Ham,11.0,"'Sauce tomate, mozzarella, jambon.'"
Domino's Pizza,Pizza Forestière,12.5,"'Sauce tomate, mozzarella, bacon, jambon & champignons.'"
Domino's Pizza,Pizza 4 Seasons,12.5,"'Sauce tomate, mozzarella, pepperoni, jambon grillé, poivron & champignons.'"
Domino's Pizza,Pizza Diabolika,12.5,"'Sauce tomate, mozzarella, oignon rouge, viande hachée, merguez & piments rouges.'"
Domino's Pizza,Pizza Barbecue grill,12.5,"'Sauce barbecue, mozzarella, oignon rouge, viande hachée, lard et tourbillon de sauce barbecue.'"
Domino's Pizza,Pizza Veggi,12.5,"'Sauce tomate, mozzarella, tomates fraîches, champignons, poivron, oignons rouge, olives noires, épinards.'"
Domino's Pizza,Pizza Bbq chicken & bacon,12.5,"'Barbecue sauce, mozzarella, poulet grillé et bacon.'"
Domino's Pizza,Pizza Hawaiian,12.5,"'Sauce tomate, mozzarella, jambon grillé & ananas.'"
Domino's Pizza,Pizza Hot & spicy,12.5,"'Sauce tomate, mozzarella & pepperoni, poulet, oignons rouge, poivrons, piments.'"
Domino's Pizza,Pizza Creamy 4 cheese,12.5,"'Crème fraiche, mozzarella, gorgonzola, emmental et fromage de chèvre.'"
Domino's Pizza,Pizza 4 cheese,12.5,"'Sauce tomate, mozzarella, gorgonzola, emmental & fromage de chèvre.'"
Domino's Pizza,Pizza Vegeroni,12.5,"'Sauce tomate, mozzarella, vegeroni.'"
Domino's Pizza,Pizza Cheeseburger,12.5,"'Tomatensaus, mozzarella, burger sauce, emmentaler, gehakt beef crumble, pickles, tomaten, ui.'"
Domino's Pizza,Pizza Pepperoni party,14.0,"'Sauce tomate, mozzarella, pepperoni et pepperoni extra.'"
Domino's Pizza,Pizza Barbecue chicken,14.0,"'Sauce tomate, mozzarella, oignon rouge, poivron, poulet & tourbillon de sauce barbecue.'"
Domino's Pizza,Pizza Cannibale,14.0,"'Sauce barbecue, mozzarella, viande hachée, merguez, poulet & tourbillon de sauce barbecue.'"
Domino's Pizza,Pizza Extravaganzza,14.0,"'Sauce tomate, mozzarella, pepperoni, jambon grillé, champignons, oignon rouge, poivron, viande hachée et olives.'"
Domino's Pizza,Pizza Savoyarde,14.0,"'Crème fraîche, mozzarella, origan, rondelles de pomme de terre, bacon & reblochon.'"
Domino's Pizza,Pizza Crevettes,14.0,"""Sauce tomate, mozzarella, crevettes, tomates fraîches & sauce à l'ail."""
Domino's Pizza,Pizza Tonno,14.0,"'Sauce tomate, mozzarella, thon, oignon rouge, épinards & olives noires.'"
Domino's Pizza,Pizza Chicken kebab,14.0,"'Sauce tomate, mozzarella, kebab de poulet, oignons rouge, poivrons mixtes & sauce samouraï.'"
Domino's Pizza,Pizza Chicken Delight,14.0,"'Sauce tomate, mozzarella, poulet halal, poivrons, épinards frais, tomates et oignons.'"
Domino's Pizza,Pizza Spicy chicken mix,14.0,"'Sauce tomate, mozzarella, kebab de poulet, morceaux de poulet, oignons rouge, jalapenos, champignons & sauce samouraï.'"
Domino's Pizza,Pizza Goatcheese bacon,14.0,"'Sauce tomate, mozzarella, chèvre, bacon, épinards frais & miel.'"
Domino's Pizza,Pizza Spicy Bacon Cheeseburger,14.0,"""Tomatensaus, mozzarella, bacon plakjes, burger sauce, emmentaler, gehakt beef crumble, pickles, jalapeno's duo, tomaten, ui."""
Domino's Pizza,Pizza American sans gluten,12.5,"'Pâte sans gluten, sauce tomate, mozzarella & pepperoni.'"
Domino's Pizza,Pizza Margherita sans gluten,12.5,"'Pâte sans gluten, sauce tomate, mozzarella & origan.'"
Domino's Pizza,Pizza Vegan Margherita,12.5,"'Sauce tomate, fromage vegan, origan.'"
Domino's Pizza,Pizza Vegan Spicy,12.5,"'Sauce tomate, fromage vegan, épinards, tomate fraîches , poivrons, jalapeños & oignons rouges.'"
Domino's Pizza,Pizza Vegan Vegeroni,12.5,"'Sauce tomate, fromage vegan & vegeroni'"
Domino's Pizza,Pizza Vegan Funghi,12.5,"'Sauce tomate, fromage vegan, champignons, pizza herbs.'"
Domino's Pizza,After dinner dip,1.0,'Une sauce Garlic & Herbs pour accompagner votre croute de pizza.'
Pizza Ozy,Menu A,15.0,"'1 small pizza (28 cm), 1 voorgerecht, 1 drankje.'"
Pizza Ozy,Menu B,25.0,"""2 small pizza's (28 cm), 2 voorgerechten, 2 drankjes."""
Pizza Ozy,Menu C,20.0,"'1 large pizza (38 cm), 1 voorgerecht, 1 fles Coca-Cola.'"
Pizza Ozy,Menu D,32.0,"""2 large pizza's (38 cm), 2 voorgerechten, 1 fles Coca-Cola."""
Pizza Ozy,Pizza margherita,10.5,'Pizzasaus & mozzarella.'
Pizza Ozy,Pizza prosciutto,12.0,"'Pizzasaus, mozzarella & dubbele ham.'"
Pizza Ozy,Pizza capricciosa,12.0,"'Pizzasaus, mozzarella, dubbele ham & champignons.'"
Pizza Ozy,Pizza Hawaï,12.0,"'Pizzasaus, mozzarella, dubbele ham, gegrilde kip & ananas.'"
Pizza Ozy,Pizza quattro stagioni,12.0,"'Pizzasaus, mozzarella, ham, salami, champignons & paprika.'"
Pizza Ozy,Pizza quattro formaggi,12.0,"'Pizzasaus, mozzarella, gorgonzola, feta & extra jonge kaas.'"
Pizza Ozy,Pizza döner kebab,12.0,"'Pizzasaus, mozzarella, döner kebab, ui, look & potje looksaus.'"
Pizza Ozy,Pizza full option,12.0,"'Pizzasaus, mozzarella, salami, paprika, ananas, olijven, gehakt & extra mozzarella.'"
