primarySlug,longitude,latitude,postalCode
pasta-pino,3.2168884,50.74363,7700
da-barone-et-fils,5.4607516,50.5409924,4120
pizza-gustosa,5.4802058,50.6754914,4340
la-brezza-nova-rocourt-1,5.5497033,50.6841799,4000
la-storia-ans,5.512421,50.66334,4430
pizza-hut-delivery-houthalen,5.3770218,51.0316575,3530
grillhouse-kusadasi,5.5741936,50.9311393,3690
litaliano-nieppe,2.8574184,50.697476,59850
signature-burger-ixelles,4.3950112,50.8093402,1050
pizza-hut-delivery-ukkeluccle-2-st-job,4.3652704,50.7944917,1180
delices-de-mazagan,4.2050586,50.6927383,1480
dominos-pizza-tubize,4.2037156,50.6914912,1480
akira,4.2035757,50.6916829,1480
pizzeria-taormina-virginal,4.2052731,50.64659,1460
snack-de-la-gare-tubize,4.2052684,50.69229,1480
butcher,4.6140658,50.6692295,1348
cooking4u,5.8660955,51.0028531,6131 CK
indian-palace-nl,5.8660955,51.0028531,6131 CK
snack-pita-bodrum-vise,5.6940744,50.7378023,4600
sushi-chow,5.6950235,50.7350978,4600
shangri-la-oupeye,5.6715003,50.7347545,4684
kero-tacos-1,5.6943161,50.737713,4600
napoli-heers,5.302248,50.752292,3870
otacos-waremme,5.2540341,50.6959868,4300
la-plazza-waremme,5.25257,50.695427,4300
pizza-hut-delivery-beernem,3.3246631,51.1289345,8730
oregano-brasschaat,4.4921598,51.290567,2930
side-kebap,5.0863443,51.3187134,2370
broodjeszaak-de-vrijheid,5.0895086,51.3211208,2370
asia-delice,4.4319316,50.8369268,1150
pizza-hut-delivery-vilvoorde-1,4.470801,50.8847419,1930
snack-opwijk,4.1890306,50.9691957,1745
kfc-wijnegem,4.5018069,51.2222768,2110
lla-famiglia,5.580884,51.00532,3665
pyramide-hamont,5.54582,51.24612,3930
anatolia-23-1,5.5466132,51.2514972,3930
la-brochette-du-chalet,4.3209591,50.8674882,1083
xin-yuan,4.310531,50.8671138,1082
chez-giovanni,4.3068695,50.86666,1082
hau-wang-uccle,4.3145715,50.8586393,1080
chef-kebab-1,4.315421,50.87349,1083
dominos-pizza-jette-1,4.3240906,50.8721342,1090
dominos-pizza-berchem-sainte-agathe,4.2823889,50.8667894,1082
woodiz-basilique,4.3144861,50.8668799,1081
i-love-pizza,4.3132214,50.8736018,1083
o-delices-du-basilix,4.2923159,50.872043,1082
sushiria-jette,4.3262347,50.8729989,1090
librairie-koekelberg-iii,4.328317,50.8569599,1081
factory-buns,4.3256164,50.872284,1090
librairie-koekelberg-ii,4.3296999,50.8569799,1081
pitta-house-2,4.3112619,50.868915,1083
librairie-koekelberg,4.329865,50.8570185,1081
iskay,3.8198084,50.7116127,7860
papa-sucre-sale,3.5782116,50.6972868,7910
dominos-pizza-ronse,3.6020962,50.7427833,9600
kursatto,3.6015994,50.7475772,9600
le-meilleur-de-la-frite,3.5807412,50.6936941,7910
freros,3.6034959,50.7350915,9600
dominos-pizza-houthalen,5.373873,51.03167,3530
snack-felix-2,4.3982331,50.8478045,1030
snack-papay,4.3808233,50.8367019,1040
tamy,4.3805304,50.8364281,1040
omiros,4.3739433,50.8490727,1210
buv-moi,4.3566654,50.8476687,1000
le-pecheur,4.3534486,50.8483082,1000
le-porto-fino,4.3717928,50.8395002,1050
snack-tadim,4.3766128,50.859793,1030
le-1050,4.3726359,50.8289445,1050
volle-gas-1,4.367096,50.8334153,1050
gusto-di,4.3460338,50.8481231,1000
shapla-masala,4.3832616,50.8443804,1000
el-bocadillos,4.3577667,50.8450733,1000
oliva-etterbeek,4.388106,50.8366818,1040
snack-chez-zeki,4.3673975,50.8548619,1210
empanadas,4.4006672,50.8407666,1040
restaurant-grecque-nammos,4.3844341,50.8575141,1030
antipasti-sapori,4.4007157,50.8427711,1040
afrosian-ixelles,4.3802894,50.850166,1000
metropolis,4.3857023,50.8393238,1040
petit-palais,4.3729156,50.8567628,1030
snack-dylan,4.4176894,50.8600219,1140
osyrie,4.3680471,50.8553552,1210
snack-sibel-1,4.3927635,50.828637,1040
les-4-gouts,4.3409006,50.8596365,1080
