restaurant_name,menu_item_name,price,description
Egmont Snack,Turkse pizza kip,6.5,
Egmont Snack,Turkse pizza kebab,6.0,
Egmont Snack,Turkse pizza kefta,7.5,
Egmont Snack,Turkse pizza adana,7.5,
Egmont Snack,Turkse pizza merguez,7.5,
Egmont Snack,Turkse pizza special,8.0,
Egmont Snack,Turkse pizza mix,8.0,
Egmont Snack,Turkse pizza mix special,8.5,
Egmont Snack,Turkse pizza snack,6.5,
Egmont Snack,Turkse pizza vegi,5.0,
Egmont Snack,Turkse pizza falafel,6.0,
NACHTWINKEL VISION BD ,Dr.OETKER PIZZA POLO,5.5,Dr.OETKER PIZZA POLO
NACHTWINKEL VISION BD ,Dr Oekter Pizza MOZZARELLA,5.5,Mozzarella.
NACHTWINKEL VISION BD ,DR. Oether pizza speciale,5.5,DR. Oether pizza speciale 330 g
NACHTWINKEL VISION BD ,Dr. Oetker pizza salami,5.5,Dr. Oetker pizza salami
Sicilia Bella,Pizza Margherita,12.5,Tomates et mozzarella.
Sicilia Bella,Pizza chorizo,14.5,"Tomates, mozzarella, jambon et chorizo."
Sicilia Bella,Pizza funghi,14.0,"Tomates, mozzarella et champignons"
Sicilia Bella,Pizza 4 saisons,15.5,"Tomates, mozzarella, jambon, artichauts, champignons, poivrons et olives noires."
Sicilia Bella,Pizza Ã  composer,12.5,Base Margherita.
Sicilia Bella,Pizza romana,14.0,"Tomates, mozzarella et jambon."
Sicilia Bella,Pizza capriciosa,15.0,"Tomates, mozzarella, jambon, champignons, artichauts et olives."
Sicilia Bella,Pizza HawaÃ¯,14.0,"Tomates, mozzarella, jambon et ananas."
Sicilia Bella,Pizza Napoli,14.0,"Tomates, mozzarella, anchois et olives."
Sicilia Bella,Pizza fromaggi,14.0,"Tomates, mozzarella, gorgonzola, fontina, parmesan et olives."
Sicilia Bella,Pizza al tonno,14.5,"Tomates, mozzarella, thon et oignons."
Sicilia Bella,Pizza fruits de mer,16.0,"Tomates, mozzarella, cocktail fruits de mer et ail."
Sicilia Bella,Pizza scampis,16.0,"Tomates, mozzarella, scampis et ail."
Sicilia Bella,Pizza roquette,15.0,"Tomates, mozzarella, jambon de parme, roquette et parmesan."
Sicilia Bella,Pizza vÃ©gÃ©tarienne,14.0,"Tomates, mozzarella, poivrons et oignons."
Sicilia Bella,Pizza carbonara,14.5,"Tomates, mozzarella, Å“uf et lardons"
Sicilia Bella,Pizza pesto poulet,15.5,"Tomates, mozzarella, pesto vert, poulet et champignons."
Sicilia Bella,Pizza wurstel,14.5,"Tomates, mozzarella, wurstel, frites et Å“uf."
