city,avg_price_per_sq_cm,pizza_count
Rotselaar,0.009830130059322366,123
Leuven,0.012868207665456712,3
Schoten,0.013766139215020554,96
Borgerhout,0.014413291096024702,165
Merksem,0.015020897897039013,17
Geel,0.015330565885860346,52
Weert,0.015386439310114545,25
Sint-Lambrechts-Herk,0.015788170354716018,25
Genk,0.01626917196050486,38
Molenbeek-Saint-Jean,0.016664286808692808,17
Antwerpen,0.01679082233809159,159
Anderlecht,0.016982975344533663,51
Wommelgem,0.017430210319305504,29
Gent,0.017438703792898597,70
Wavre,0.01786414407837202,31
Kessel Lo,0.018007766822678038,66
Vilvoorde,0.01858788264252811,72
Koolkerke,0.01874069897482801,144
Deurne,0.019035170531263083,177
Vosselaar,0.01984378070113591,132
Waterloo,0.019876099412761954,27
Duffel,0.021148736190708426,129
Walem,0.022463539907494036,140
Mol,0.025086988944873614,124
