postal_code;mun_name
1000;Brussel
1020;Brussel
1030;Schaarbeek
1040;Etterbeek
1040;Brussel
1050;Brussel
1050;Elsene
1060;Sint-Gillis
1070;Anderlecht
1080;Sint-Jans-Molenbeek
1081;Koekelberg
1082;Sint-Agatha-Berchem
1083;Ganshoren
1090;Jette
1120;Brussel
1130;Brussel
1140;Evere
1150;Sint-Pieters-Woluwe
1160;Oudergem
1170;Watermaal-Bosvoorde
1180;Ukkel
1190;Vorst
1200;Sint-Lambrechts-Woluwe
1210;Sint-Joost-ten-Node
1300;Waver
1301;Waver
1310;Terhulpen
1315;Incourt
1320;Bevekom
1325;Chaumont-Gistoux
1330;Rixensart
1331;Rixensart
1332;Rixensart
1340;Ottignies-Louvain-la-Neuve
1341;Ottignies-Louvain-la-Neuve
1342;Ottignies-Louvain-la-Neuve
1348;Ottignies-Louvain-la-Neuve
1350;Orp-Jauche
1357;Helecine
1360;Perwijs
1367;Ramillies
1370;Geldenaken
1380;Lasne
1390;Graven
1400;Nijvel
1401;Nijvel
1402;Nijvel
1404;Nijvel
1410;Waterloo
1420;Eigenbrakel
1421;Eigenbrakel
1428;Eigenbrakel
1430;Rebecq
1435;Mont-Saint-Guibert
1440;Kasteelbrakel
1450;Chastre
1457;Walhain
1460;Itter
1461;Itter
1470;Genappe
1471;Genappe
1472;Genappe
1473;Genappe
1474;Genappe
1476;Genappe
1480;Tubeke
1490;Court-Saint-Etienne
1495;Villers-la-Ville
1500;Halle
1501;Halle
1502;Halle
1540;Pajottegem
1541;Pajottegem
1547;Bever
1560;Hoeilaart
1570;Pajottegem
1600;Sint-Pieters-Leeuw
1601;Sint-Pieters-Leeuw
1602;Sint-Pieters-Leeuw
1620;Drogenbos
1630;Linkebeek
1640;Sint-Genesius-Rode
1650;Beersel
1651;Beersel
1652;Beersel
1653;Beersel
1654;Beersel
1670;Pepingen
1671;Pepingen
1673;Pepingen
1674;Pepingen
1700;Dilbeek
1701;Dilbeek
1702;Dilbeek
1703;Dilbeek
1730;Asse
1731;Asse
1740;Ternat
1741;Ternat
1742;Ternat
1745;Opwijk
1750;Lennik
1755;Pajottegem
1760;Roosdaal
1761;Roosdaal
1770;Liedekerke
1780;Wemmel
1785;Merchtem
1790;Affligem
1800;Vilvoorde
1804;Zemst
1804;Vilvoorde
1820;Steenokkerzeel
1830;Machelen
1831;Machelen
1840;Londerzeel
1850;Grimbergen
1851;Grimbergen
1852;Grimbergen
1853;Grimbergen
1860;Meise
1861;Meise
1880;Kapelle-op-den-Bos
1910;Kampenhout
1930;Zaventem
1931;Machelen
1932;Zaventem
1933;Zaventem
1950;Kraainem
1970;Wezembeek-Oppem
1980;Zemst
1981;Zemst
1982;Zemst
2000;Antwerpen
2018;Antwerpen
2020;Antwerpen
2030;Antwerpen
2040;Antwerpen
2050;Antwerpen
2060;Antwerpen
2070;Beveren-Kruibeke-Zwijndrecht
2100;Antwerpen
2110;Wijnegem
2140;Antwerpen
2150;Antwerpen
2160;Wommelgem
2170;Antwerpen
2180;Antwerpen
2200;Herentals
2220;Heist-op-den-Berg
2221;Heist-op-den-Berg
2222;Heist-op-den-Berg
2223;Heist-op-den-Berg
2230;Herselt
2235;Hulshout
2240;Zandhoven
2242;Zandhoven
2243;Zandhoven
2250;Olen
2260;Westerlo
2270;Herenthout
2275;Lille
2280;Grobbendonk
2288;Grobbendonk
2290;Vorselaar
2300;Turnhout
2310;Rijkevorsel
2320;Hoogstraten
2321;Hoogstraten
2322;Hoogstraten
2323;Hoogstraten
2328;Hoogstraten
2330;Merksplas
2340;Beerse
2350;Vosselaar
2360;Oud-Turnhout
2370;Arendonk
2380;Ravels
2381;Ravels
2382;Ravels
2387;Baarle-Hertog
2390;Malle
2400;Mol
2430;Laakdal
2431;Laakdal
2440;Geel
2450;Meerhout
2460;Kasterlee
2470;Retie
2480;Dessel
2490;Balen
2491;Balen
2500;Lier
2520;Ranst
2530;Boechout
2531;Boechout
2540;Hove
2547;Lint
2550;Kontich
2560;Nijlen
2570;Duffel
2580;Putte
2590;Berlaar
2600;Antwerpen
2610;Antwerpen
2620;Hemiksem
2627;Schelle
2630;Aartselaar
2640;Mortsel
2650;Edegem
2660;Antwerpen
2800;Mechelen
2801;Mechelen
2811;Mechelen
2812;Mechelen
2820;Bonheiden
2830;Willebroek
2840;Rumst
2845;Niel
2850;Boom
2860;Sint-Katelijne-Waver
2861;Sint-Katelijne-Waver
2870;Puurs-Sint-Amands
2880;Bornem
2890;Puurs-Sint-Amands
2900;Schoten
2910;Essen
2920;Kalmthout
2930;Brasschaat
2940;Stabroek
2950;Kapellen
2960;Brecht
2970;Schilde
2980;Zoersel
2990;Wuustwezel
3000;Leuven
3001;Leuven
3010;Leuven
3012;Leuven
3018;Leuven
3020;Herent
3040;Huldenberg
3050;Oud-Heverlee
3051;Oud-Heverlee
3052;Oud-Heverlee
3053;Oud-Heverlee
3054;Oud-Heverlee
3060;Bertem
3061;Bertem
3070;Kortenberg
3071;Kortenberg
3078;Kortenberg
3080;Tervuren
3090;Overijse
3110;Rotselaar
3111;Rotselaar
3118;Rotselaar
3120;Tremelo
3128;Tremelo
3130;Begijnendijk
3140;Keerbergen
3150;Haacht
3190;Boortmeerbeek
3191;Boortmeerbeek
3200;Aarschot
3201;Aarschot
3202;Aarschot
3210;Lubbeek
3211;Lubbeek
3212;Lubbeek
3220;Holsbeek
3221;Holsbeek
3270;Scherpenheuvel-Zichem
3271;Scherpenheuvel-Zichem
3272;Scherpenheuvel-Zichem
3290;Diest
3293;Diest
3294;Diest
3300;Tienen
3320;Hoegaarden
3321;Hoegaarden
3350;Linter
3360;Bierbeek
3370;Boutersem
3380;Glabbeek
3381;Glabbeek
3384;Glabbeek
3390;Tielt-Winge
3391;Tielt-Winge
3400;Landen
3401;Landen
3404;Landen
3440;Zoutleeuw
3450;Geetbets
3454;Geetbets
3460;Bekkevoort
3461;Bekkevoort
3470;Kortenaken
3471;Kortenaken
3472;Kortenaken
3473;Kortenaken
3500;Hasselt
3501;Hasselt
3510;Hasselt
3511;Hasselt
3512;Hasselt
3520;Zonhoven
3530;Houthalen-Helchteren
3540;Herk-de-Stad
3545;Halen
3550;Heusden-Zolder
3560;Lummen
3570;Alken
3580;Beringen
3581;Beringen
3582;Beringen
3583;Beringen
3590;Diepenbeek
3600;Genk
3620;Lanaken
3621;Lanaken
3630;Maasmechelen
3631;Maasmechelen
3640;Kinrooi
3650;Dilsen-Stokkem
3660;Oudsbergen
3665;As
3668;As
3670;Oudsbergen
3680;Maaseik
3690;Zutendaal
3700;Tongeren-Borgloon
3717;Herstappe
3720;Hasselt
3721;Hasselt
3722;Hasselt
3723;Hasselt
3724;Hasselt
3730;Bilzen-Hoeselt
3732;Bilzen-Hoeselt
3740;Bilzen-Hoeselt
3742;Bilzen-Hoeselt
3746;Bilzen-Hoeselt
3770;Riemst
3790;Voeren
3791;Voeren
3792;Voeren
3793;Voeren
3798;Voeren
3800;Sint-Truiden
3803;Sint-Truiden
3806;Sint-Truiden
3830;Wellen
3831;Wellen
3832;Wellen
3840;Tongeren-Borgloon
3850;Nieuwerkerken
3870;Heers
3890;Gingelom
3891;Gingelom
3900;Pelt
3910;Pelt
3920;Lommel
3930;Hamont-Achel
3940;Hechtel-Eksel
3941;Hechtel-Eksel
3945;Tessenderlo-Ham
3950;Bocholt
3960;Bree
3970;Leopoldsburg
3971;Leopoldsburg
3980;Tessenderlo-Ham
3990;Peer
4000;Luik
4020;Luik
4030;Luik
4031;Luik
4032;Luik
4040;Herstal
4041;Herstal
4042;Herstal
4050;Chaudfontaine
4051;Chaudfontaine
4052;Chaudfontaine
4053;Chaudfontaine
4100;Seraing
4101;Seraing
4102;Seraing
4120;Neupre
4121;Neupre
4122;Neupre
4130;Esneux
4140;Sprimont
4141;Sprimont
4160;Anthisnes
4161;Anthisnes
4162;Anthisnes
4163;Anthisnes
4170;Comblain-au-Pont
4171;Comblain-au-Pont
4180;Hamoir
4181;Hamoir
4190;Ferrieres
4210;Burdinne
4217;Heron
4218;Heron
4219;Wasseiges
4250;Geer
4252;Geer
4253;Geer
4254;Geer
4257;Berloz
4260;Braives
4261;Braives
4263;Braives
4280;Hannuit
4287;Lijsem
4300;Borgworm
4317;Faimes
4340;Awans
4342;Awans
4347;Fexhe-le-Haut-Clocher
4350;Remicourt
4351;Remicourt
4357;Donceel
4360;Oerle
4367;Crisnee
4400;Flemalle
4420;Saint-Nicolas
4430;Ans
4431;Ans
4432;Ans
4450;Juprelle
4451;Juprelle
4452;Juprelle
4453;Juprelle
4458;Juprelle
4460;Grece-Hollogne
4470;Saint-Georges-sur-Meuse
4480;Engis
4500;Hoei
4520;Wanze
4530;Villers-Le-Bouillet
4537;Verlaine
4540;Amay
4550;Nandrin
4557;Tinlot
4560;Clavier
4570;Marchin
4577;Modave
4590;Ouffet
4600;Wezet
4601;Wezet
4602;Wezet
4606;Dalhem
4607;Dalhem
4608;Dalhem
4610;Beyne-Heusay
4620;Fleron
4621;Fleron
4623;Fleron
4624;Fleron
4630;Soumagne
4631;Soumagne
4632;Soumagne
4633;Soumagne
4650;Herve
4651;Herve
4652;Herve
4653;Herve
4654;Herve
4670;Blegny
4671;Blegny
4672;Blegny
4680;Oupeye
4681;Oupeye
4682;Oupeye
4683;Oupeye
4684;Oupeye
4690;Bitsingen
4700;Eupen
4701;Eupen
4710;Lontzen
4711;Lontzen
4720;Kelmis
4721;Kelmis
4728;Kelmis
4730;Raeren
4731;Raeren
4750;Butgenbach
4760;Bullingen
4761;Bullingen
4770;Amel
4771;Amel
4780;Sankt Vith
4782;Sankt Vith
4783;Sankt Vith
4784;Sankt Vith
4790;Burg-Reuland
4791;Burg-Reuland
4800;Verviers
4801;Verviers
4802;Verviers
4820;Dison
4821;Dison
4830;Limburg
4831;Limburg
4834;Limburg
4837;Baelen
4840;Welkenraedt
4841;Welkenraedt
4845;Jalhay
4850;Plombieres
4851;Plombieres
4852;Plombieres
4860;Pepinster
4861;Pepinster
4870;Trooz
4877;Olne
4880;Aubel
4890;Thimister-Clermont
4900;Spa
4910;Theux
4920;Aywaille
4950;Weismes
4960;Malmedy
4970;Stavelot
4980;Trois-Ponts
4983;Trois-Ponts
4987;Stoumont
4990;Lierneux
5000;Namen
5001;Namen
5002;Namen
5003;Namen
5004;Namen
5020;Namen
5021;Namen
5022;Namen
5024;Namen
5030;Gembloux
5031;Gembloux
5032;Gembloux
5060;Sambreville
5070;Fosses-la-Ville
5080;La Bruyere
5081;La Bruyere
5100;Namen
5101;Namen
5140;Sombreffe
